date,internal_id,close,tradable_volume,mkt_cap,volat_21,fx_to_usd
20200825,40060061,33.775,4155,31573642307,0.014314,1.18190038
20200825,41002414,26,6814,153647049,0.042364,1.18190038
20200825,41009729,161.5,1032148,12323060298,0.01863,0.11140075
20200825,41010611,80,33893,258779643,0.062933,0.013139
20200826,40014265,360,319679,6951648110,0.017837,0.11441648
20200826,40044140,110,2517,234854912026,0.021916,1.18149961
20200826,40044631,186.85,452663,7137914602,0.022375,0.15871504
20200826,40048791,2535,1462725,24647084198,0.013431,0.013188
20200826,40060061,34.655,17685,32385301160,0.014661,1.18149961
20200826,41002414,26.4,13109,155957948,0.041188,1.18149961
20200826,41009729,162,1304497,12438392687,0.017519,0.11209631
20200826,41010611,75,21797,243510731,0.065924,0.013188
20200827,40014265,351.5,376595,6810812121,0.016535,0.11480924
20200827,40044140,114.36,10264,244267026020,0.022938,1.18199957
20200827,40044631,187,377426,7147615318,0.022164,0.15880326
20200827,40048791,2520,2123837,24560680268,0.013604,0.01321999
20200827,40060061,34.475,2456,32230722952,0.014779,1.18199957
20200827,41002414,26.3,5296,155432943,0.03245,1.18199957
20200827,41009729,162.4,973824,12511037760,0.017503,0.11247329
20200827,41010611,75,1799,244101456,0.065924,0.01321999
20200828,40014265,352.1,248815,6886798358,0.016351,0.11589231
20200828,40044140,113.92,4740,245036040562,0.022948,1.19030048
20200828,40044631,184.45,250693,7099983358,0.022308,0.15992579
20200828,40048791,2497,2202688,24557439106,0.014112,0.01334
20200828,40060061,34.35,2454,32339388633,0.014235,1.19030048
20200828,41002414,25.85,7748,153846337,0.024425,1.19030048
20200828,41009729,160.9,1021693,12536054278,0.017494,0.11374882
20200828,41010611,75,28659,246317378,0.065924,0.01334
20200831,40014265,344.6,412315,6743230226,0.016924,0.11594606
20200831,40044140,111.1,5820,239913888114,0.023844,1.19500012
20200831,40044631,186.2,690453,7194845959,0.021926,0.16053941
20200831,40048791,2497,0,24557439106,0.014112,0.01337301
20200831,40060061,34.055,7281,32188244299,0.014445,1.19500012
20200831,41002414,26,4711,155350016,0.024348,1.19500012
20200831,41009729,163,13637564,12820270288,0.013223,0.11482902
20200831,41010611,75,0,246317378,0.065924,0.01337301
20200901,40014265,355.6,477624,6919250828,0.018274,0.11529238
20200901,40044140,111.08,5798,239830575636,0.023859,1.19480023
20200901,40044631,185.5,428579,7166187029,0.019837,0.16050334
20200901,40048791,2506,1973842,24780827240,0.012019,0.01341301
20200901,40060061,33.76,1454,31904077439,0.014768,1.19480023
20200901,41002414,26.05,21317,155622730,0.024234,1.19480023
20200901,41009729,159.9,917667,12519520069,0.014085,0.11430923
20200901,41010611,77.5,24273,255920863,0.065733,0.01341301
20200902,40014265,367.8,665864,7110484073,0.019106,0.11454885
20200902,40044140,112.98,4007,241748322991,0.015727,1.18410037
20200902,40044631,192.85,463077,7384938389,0.021759,0.15909886
20200902,40048791,2524,1404426,24779461715,0.011961,0.013314
20200902,40060061,36.205,10209,33908261638,0.020821,1.18410037
20200902,41002414,25.2,18437,149196647,0.023598,1.18410037
20200902,41009729,164,854348,12704458807,0.014231,0.11309786
20200902,41010611,77.5,21840,254031839,0.063444,0.013314
20200903,40014265,370.7,712248,7146981832,0.019081,0.1142361
20200903,40044140,112.2,9123,239795380555,0.015614,1.18269994
20200903,40044631,189.5,257247,7251117029,0.022034,0.15897746
20200903,40048791,2372,3145638,23194490984,0.019306,0.013261
20200903,40060061,34.94,23180,32684807412,0.022942,1.18269994
20200903,41002414,24,13547,141923993,0.025312,1.18269994
20200903,41009729,162.7,989450,12480247416,0.013551,0.11198961
20200903,41010611,77.5,4961,253020550,0.063444,0.013261
20200904,40014265,359.9,814565,6928946114,0.020158,0.11407451
20200904,40044140,110.44,10956,235854243938,0.014808,1.18179981
20200904,40044631,184.65,301860,7060483291,0.021779,0.15886381
20200904,40048791,2292,3685377,22364880455,0.021109,0.01323299
20200904,40060061,33.365,7242,31187710956,0.02528,1.18179981
20200904,41002414,24.05,16135,142111427,0.024769,1.18179981
20200904,41009729,150.6,1214506,11532073517,0.021891,0.11179555
20200904,41010611,77.5,2387,252486174,0.057563,0.01323299
20200907,40014265,383.1,519991,7373499447,0.02468,0.11404199
20200907,40044140,111.68,1293,238482361467,0.014949,1.18170066
20200907,40044631,190.9,290939,7296914985,0.023205,0.1588083
20200907,40048791,2344,974140,22746137250,0.021375,0.01316001
20200907,40060061,33.615,2280,31418760508,0.025281,1.18170066
20200907,41002414,25.25,8793,149189708,0.026144,1.18170066
20200907,41009729,153,697107,11724371342,0.021233,0.11187685
20200907,41010611,77.5,1390,251093623,0.05724,0.01316001
20200908,40014265,394.2,800031,7549602023,0.02538,0.11347775
20200908,40044140,115.16,11369,245372521664,0.016008,1.17910068
20200908,40044631,185.45,370869,7072982364,0.022856,0.15845852
20200908,40048791,2349,1514179,22586795561,0.02086,0.01304
20200908,40060061,32.815,11581,30603546137,0.025928,1.17910068
20200908,41002414,24.6,6312,145029383,0.025351,1.17910068
20200908,41009729,153.9,1136674,11593591841,0.021282,0.10998196
20200908,41010611,80,20192,256829865,0.057366,0.01304
20200909,40014265,410.2,807324,7898333960,0.026317,0.11408883
20200909,40044140,113.6,9838,242417913615,0.016349,1.18089966
20200909,40044631,187.95,394559,7180163962,0.022153,0.15872008
20200909,40048791,2302,2457382,22082229653,0.021239,0.01300899
20200909,40060061,33.425,14845,31219997773,0.025844,1.18089966
20200909,41002414,24.35,3454,143774533,0.02452,1.18089966
20200909,41009729,150.2,853227,11394188236,0.021832,0.11075301
20200909,41010611,85,10236,272232807,0.058274,0.01300899
20200910,40014265,412.3,523315,7966398982,0.026224,0.1144859
20200910,40044140,114.2,7283,245204882889,0.016214,1.18820022
20200910,40044631,186.9,269765,7183835723,0.021831,0.15969339
20200910,40048791,2306,1382766,22160074636,0.020347,0.012847
20200910,40060061,33.705,3736,31676151824,0.025338,1.18820022
20200910,41002414,25.6,7842,152089628,0.027556,1.18820022
20200910,41009729,152.8,887688,11632263888,0.022202,0.11114322
20200910,41010611,85,1406,268842802,0.058089,0.012847
20200911,40014265,415.7,649443,7985013444,0.024908,0.11381485
20200911,40044140,112,4739,239428536642,0.016804,1.18299935
20200911,40044631,189,253165,7234745181,0.021817,0.15903814
20200911,40048791,2266,1444238,21667208455,0.020293,0.012783
20200911,40060061,33.065,11643,30938659272,0.025525,1.18299935
20200911,41002414,24.7,4832,146100420,0.028296,1.18299935
20200911,41009729,152.6,965289,11540719386,0.022143,0.11041306
20200911,41010611,90,3894,283239055,0.058796,0.012783
20200914,40014265,418.8,439377,8063005656,0.024693,0.11407581
20200914,40044140,111.56,4071,239354950507,0.016446,1.18730016
20200914,40044631,190.15,230137,7303157209,0.021913,0.15957107
20200914,40048791,2355,1703234,22683815590,0.022171,0.01287701
20200914,40060061,33.015,9116,31004182482,0.025532,1.18730016
20200914,41002414,25.3,11317,150193471,0.026355,1.18730016
20200914,41009729,155.9,709383,11835897967,0.022672,0.11084017
20200914,41010611,85,4154,269470789,0.060977,0.01287701
20200915,40014265,433.6,718598,8326667609,0.023677,0.11378506
20200915,40044140,111.08,4335,237803044422,0.016477,1.18469937
20200915,40044631,191.1,370765,7324683452,0.017891,0.15924581
20200915,40048791,2608,3564748,25099299799,0.031521,0.01286601
20200915,40060061,32.615,4316,30561452847,0.025725,1.18469937
20200915,41002414,24.85,5613,147198897,0.026272,1.18469937
20200915,41009729,160.5,317295,12163826879,0.022889,0.1106464
20200915,41010611,85,8135,269240579,0.060977,0.01286601
20200916,40014265,440.7,742852,8461472488,0.023671,0.11376435
20200916,40044140,112.36,2764,240320092429,0.016634,1.18360004
20200916,40044631,186.4,555292,7137716959,0.018742,0.1590938
20200916,40048791,2641,2632794,25642088052,0.03157,0.01298
20200916,40060061,33.735,756,31581600854,0.025791,1.18360004
20200916,41002414,24.3,11995,143807405,0.026099,1.18360004
20200916,41009729,160.8,449804,12222536302,0.022879,0.11097301
20200916,41010611,85,0,271626091,0.060977,0.01298
20200917,40014265,443.9,1048606,8509456512,0.023056,0.11358473
20200917,40044140,110.68,6622,236526954115,0.017007,1.18260063
20200917,40044631,187.35,405512,7167822849,0.018232,0.15895471
20200917,40048791,2712,2598771,26286814360,0.031854,0.012958
20200917,40060061,33.215,4252,31068538180,0.026007,1.18260063
20200917,41002414,24.95,5879,147529429,0.026948,1.18260063
20200917,41009729,163.4,494225,12317102682,0.023138,0.11005216
20200917,41010611,85,6000,271165710,0.060977,0.012958
20200918,40014265,443,825099,8539732910,0.022952,0.11422045
20200918,40044140,109.2,4704,233975649832,0.017321,1.18569952
20200918,40044631,185,523179,7096187362,0.018462,0.15936509
20200918,40048791,2817,5693181,27287689638,0.032614,0.01295
20200918,40060061,33.47,1976,31389096138,0.025685,1.18569952
20200918,41002414,25,3949,148212439,0.026687,1.18569952
20200918,41009729,161.8,952117,12230413360,0.02321,0.11035822
20200918,41010611,90,6819,286939278,0.061651,0.01295
20200921,40014265,430.6,819803,8180167332,0.024359,0.11256191
20200921,40044140,105.78,12418,224354244864,0.017946,1.17370065
20200921,40044631,183,428156,6949258278,0.018574,0.15777101
20200921,40048791,2803,2393994,26829200394,0.032729,0.012796
20200921,40060061,33.69,5278,31275683771,0.025347,1.17370065
20200921,41002414,23.9,8844,140257228,0.028018,1.17370065
20200921,41009729,151.5,437657,11157552154,0.027543,0.10752226
20200921,41010611,95,8150,299278700,0.062084,0.012796
20200922,40014265,432.7,385038,8196350581,0.024197,0.11223722
20200922,40044140,107.8,4735,227937103333,0.018343,1.17009974
20200922,40044631,183.6,219994,6948800762,0.017947,0.15724507
20200922,40048791,2839,1882490,27025112868,0.032753,0.012726
20200922,40060061,35.33,4431,32697532154,0.02747,1.17009974
20200922,41002414,23.3,9541,136316620,0.028266,1.17009974
20200922,41009729,154.5,496262,11305074733,0.027873,0.10682848
20200922,41010611,100,674,313306709,0.035818,0.012726
20200923,40014265,433.1,351576,8138434209,0.024275,0.11134122
20200923,40044140,107.16,3225,226138529335,0.018272,1.16780002
20200923,40044631,186.15,295149,7030277404,0.018136,0.15690951
20200923,40048791,2865,1695141,27330488228,0.032591,0.012753
20200923,40060061,39.42,80059,36411079301,0.036235,1.16780002
20200923,41002414,23.6,6933,137800402,0.028175,1.16780002
20200923,41009729,162,628226,11754537371,0.029998,0.10593333
20200923,41010611,100,26184,313971577,0.034633,0.012753
20200924,40014265,437.3,442687,8091853628,0.02299,0.10964071
20200924,40044140,104.98,6413,221272462885,0.016096,1.16639976
20200924,40044631,179.25,248101,6760775972,0.019983,0.15670297
20200924,40048791,2825,2781619,26912975463,0.032869,0.012736
20200924,40060061,37.255,20599,34370072100,0.038824,1.16639976
20200924,41002414,23.25,3691,135593972,0.028248,1.16639976
20200924,41009729,158.1,498841,11354761263,0.030478,0.10485478
20200924,41010611,100,6251,313552909,0.029891,0.012736
20200925,40014265,445,421805,8222705479,0.022928,0.10948585
20200925,40044140,105.72,6621,222048994375,0.016294,1.1623001
